From	To
P62195	PSMC5
P62241	RPS8
P62244	RPS15A
P62249	RPS16
P62258	YWHAE
P62263	RPS14
P62266	RPS23
P62269	RPS18
P62273	RPS29
P62277	RPS13
P62280	RPS11
P62304	SNRPE
P62306	SNRPF
P62312	LSM6
P62314	SNRPD1
P62316	SNRPD2
P62318	SNRPD3
P62328	TMSB4X
P62333	PSMC6
P62424	RPL7A
P62495	ETF1
P62701	RPS4X
P62714	PPP2CB
P62750	RPL23A
P62753	RPS6
P62805	H4C1
P62805	H4C11
P62805	H4C12
P62805	H4C13
P62805	H4C14
P62805	H4C15
P62805	H4C16
P62805	H4C2
P62805	H4C3
P62805	H4C4
P62805	H4C5
P62805	H4C6
P62805	H4C8
P62805	H4C9
P62820	RAB1A
P62826	RAN
P62829	RPL23
P62847	RPS24
P62851	RPS25
P62854	RPS26
P62857	RPS28
P62861	FAU
P62873	GNB1
P62875	POLR2L
P62888	RPL30
P62899	RPL31
P62906	RPL10A
P62910	RPL32
P62913	RPL11
P62917	RPL8
P62937	PPIA
P62942	FKBP1A
P62993	GRB2
P62995	TRA2B
P63000	RAC1
P63010	AP2B1
P63104	YWHAZ
P63151	PPP2R2A
P63165	SUMO1
P63173	RPL38
P63208	SKP1
P63220	RPS21
P63241	EIF5A
P63244	RACK1
P63279	UBE2I
P63313	TMSB10
P67809	YBX1
P67812	SEC11A
P67870	CSNK2B
P67936	TPM4
P68032	ACTC1
P68036	UBE2L3
P68104	EEF1A1
P68366	TUBA4A
P68371	TUBB4B
P68400	CSNK2A1
P68402	PAFAH1B2
P68431	H3C1
P68431	H3C10
P68431	H3C11
P68431	H3C12
P68431	H3C2
P68431	H3C3
P68431	H3C4
P68431	H3C6
P68431	H3C7
P68431	H3C8
P78344	EIF4G2
P78346	RPP30
P78347	GTF2I
P78371	CCT2
P78417	GSTO1
P78527	PRKDC
P80723	BASP1
P82930	MRPS34
P82979	SARNP
P83731	RPL24
P83916	CBX1
P84085	ARF5
P84090	ERH
P84098	RPL19
P84103	SRSF3
P98179	RBM3
P99999	CYCS
Q00325	SLC25A3
Q00341	HDLBP
Q00610	CLTC
Q00688	FKBP3
Q00765	REEP5
Q00796	SORD
Q00839	HNRNPU
Q01081	U2AF1
Q01082	SPTBN1
Q01105	SET
Q01130	SRSF2
Q01469	FABP5
Q01518	CAP1
Q01581	HMGCS1
Q01650	SLC7A5
Q01658	DR1
Q01813	PFKP
Q01844	EWSR1
Q01970	PLCB3
Q01995	TAGLN
Q02218	OGDH
Q02543	RPL18A
Q02750	MAP2K1
Q02790	FKBP4
Q02878	RPL6
Q02952	AKAP12
Q02978	SLC25A11
Q03252	LMNB2
Q04323	UBXN1
Q04637	EIF4G1
Q04760	GLO1
Q04837	SSBP1
Q04917	YWHAH
Q05519	SRSF11
Q05639	EEF1A2
Q05682	CALD1
Q06124	PTPN11
Q06203	PPAT
Q06210	GFPT1
Q06265	EXOSC9
Q06323	PSME1
Q06830	PRDX1
Q07020	RPL18
Q07021	C1QBP
Q07065	CKAP4
Q07666	KHDRBS1
Q07812	BAX
Q07866	KLC1
Q07955	SRSF1
Q07960	ARHGAP1
Q08211	DHX9
Q08752	PPID
Q08945	SSRP1
Q08J23	NSUN2
Q09028	RBBP4
Q09161	NCBP1
Q10567	AP1B1
Q12769	NUP160
Q12788	TBL3
Q12846	STX4
Q12874	SF3A3
Q12904	AIMP1
Q12905	ILF2
Q12906	ILF3
Q12907	LMAN2
Q12931	TRAP1
Q12933	TRAF2
Q12996	CSTF3
Q13011	ECH1
Q13045	FLII
Q13085	ACACA
Q13098	GPS1
Q13126	MTAP
Q13148	TARDBP
Q13151	HNRNPA0
Q13155	AIMP2
Q13162	PRDX4
Q13185	CBX3
Q13200	PSMD2
Q13242	SRSF9
Q13247	SRSF6
Q13263	TRIM28
Q13283	G3BP1
Q13310	PABPC4
Q13347	EIF3I
Q13404	UBE2V1
Q13405	MRPL49
Q13409	DYNC1I2
Q13428	TCOF1
Q13435	SF3B2
Q13442	PDAP1
Q13451	FKBP5
Q13509	TUBB3
Q13561	DCTN2
Q13573	SNW1
Q13595	TRA2A
Q13616	CUL1
Q13620	CUL4B
Q13724	MOGS
Q13813	SPTAN1
Q13838	DDX39B
Q13867	BLMH
Q13885	TUBB2A
Q14008	CKAP5
Q14011	CIRBP
Q14019	COTL1
Q14061	COX17
Q14103	HNRNPD
Q14141	SEPTIN6
Q14152	EIF3A
Q14157	UBAP2L
Q14165	MLEC
Q14166	TTLL12
Q14194	CRMP1
Q14195	DPYSL3
Q14204	DYNC1H1
Q14232	EIF2B1
Q14241	ELOA
Q14247	CTTN
Q14254	FLOT2
Q14257	RCN2
Q14258	TRIM25
Q14444	CAPRIN1
Q14498	RBM39
Q14566	MCM6
Q14573	ITPR3
Q14677	CLINT1
Q14683	SMC1A
Q14690	PDCD11
Q14694	USP10
Q14697	GANAB
Q14739	LBR
Q14839	CHD4
Q14847	LASP1
Q14914	PTGR1
Q14919	DRAP1
Q14974	KPNB1
Q14978	NOLC1
Q14980	NUMA1
Q15008	PSMD6
Q15019	SEPTIN2
Q15020	SART3
Q15021	NCAPD2
Q15024	EXOSC7
Q15029	EFTUD2
Q15043	SLC39A14
Q15046	KARS1
Q15050	RRS1
Q15056	EIF4H
Q15061	WDR43
Q15084	PDIA6
Q15121	PEA15
Q15125	EBP
Q15126	PMVK
Q15149	PLEC
Q15155	NOMO1
Q15181	PPA1
Q15185	PTGES3
Q15233	NONO
Q15257	PTPA
Q15269	PWP2
Q15287	RNPS1
Q15293	RCN1
Q15365	PCBP1
Q15366	PCBP2
Q15369	ELOC
Q15370	ELOB
Q15388	TOMM20
Q15392	DHCR24
Q15393	SF3B3
Q15397	PUM3
Q15404	RSU1
Q15417	CNN3
Q15424	SAFB
Q15427	SF3B4
Q15428	SF3A2
Q15436	SEC23A
Q15437	SEC23B
Q15459	SF3A1
Q15631	TSN
Q15637	SF1
Q15645	TRIP13
Q15654	TRIP6
Q15691	MAPRE1
Q15717	ELAVL1
Q15738	NSDHL
Q15758	SLC1A5
Q15819	UBE2V2
Q15836	VAMP3
Q15843	NEDD8
Q15907	RAB11B
Q15942	ZYX
Q16181	SEPTIN7
Q16186	ADRM1
Q16401	PSMD5
Q16531	DDB1
Q16539	MAPK14
Q16555	DPYSL2
Q16576	RBBP7
Q16629	SRSF7
Q16630	CPSF6
Q16643	DBN1
Q16658	FSCN1
Q16718	NDUFA5
Q16795	NDUFA9
Q16822	PCK2
Q16836	HADH
Q16851	UGP2
Q16891	IMMT
Q1KMD3	HNRNPUL2
Q29RF7	PDS5A
Q2Q1W2	TRIM71
Q2TAY7	SMU1
Q32MZ4	LRRFIP1
Q32P28	P3H1
Q38SD2	LRRK1
Q3LXA3	TKFC
